country,Country,year,Population,Region,Income Group,SDG Index Score,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score,country_new
AFG,Afghanistan,2020,38928341,E_Euro_Asia,LIC,51.9,91.4,51.6,38.1,26.2,21.7,50.4,44.1,38.3,7.4,80.9,30.1,97.7,98.8,58.9,52.9,50,42.9,
AFG,Afghanistan,2021,39835428,E_Euro_Asia,LIC,52.2,91.4,51.6,38.1,34.4,21.7,50.4,44.1,37.3,7.4,80.9,29.3,97.7,98.8,58.9,52.9,49.2,42.9,
ALB,Albania,2000,3129246,E_Euro_Asia,UMIC,63.8,94.3,41.6,74,74,37.2,69.3,74.1,53.1,4.7,82.5,78.9,88.4,86.9,31,64.2,70,59.9,
ALB,Albania,2001,3129701,E_Euro_Asia,UMIC,63.7,94.3,41.1,75.1,76,37.3,69.5,70.5,53.4,4.7,82.5,78.8,88.4,86.7,31.8,64.1,69.2,60,
ALB,Albania,2002,3126183,E_Euro_Asia,UMIC,63.5,94.3,40.7,75.1,76,37.3,69.8,69,53.9,4.7,82.5,78.6,88.4,86.3,31.3,63.9,69.2,59.1,
ALB,Albania,2003,3118017,E_Euro_Asia,UMIC,63.9,94.3,39.3,74.6,77.2,37.5,70.1,72.7,54.4,4.7,82.5,78.4,88.4,85.9,33.1,63.8,69.7,59.5,
ALB,Albania,2004,3104893,E_Euro_Asia,UMIC,64.2,94.3,39.4,75.1,75.6,38.1,70.4,74.4,54.9,4.8,82.5,78.2,88.4,86,33.7,66.4,69.7,60.2,
ALB,Albania,2005,3086810,E_Euro_Asia,UMIC,65.3,94.3,47,75.3,75.6,39.3,70.7,74.7,54.7,5.4,84,78.2,88.4,85.9,35.9,72.4,68.9,60,
ALB,Albania,2006,3063021,E_Euro_Asia,UMIC,65.5,94.3,47.1,75,75.6,39.6,71,76.1,55.1,6.1,84,78,88.4,86.2,35.9,72.6,69.4,59.7,
ALB,Albania,2007,3033993,E_Euro_Asia,UMIC,65.4,94.3,47.8,75.6,77.2,39.9,71.3,69.3,54.9,7.1,84,77.8,88.4,86.2,36.9,74,67.3,59.6,E EU
ALB,Albania,2008,3002683,E_Euro_Asia,UMIC,66.1,94.3,49.1,76.1,77.3,40.2,71.6,72.7,56.8,9,84.9,79.2,88.4,85.8,36.9,74.5,67.2,59.3,
ALB,Albania,2009,2973044,E_Euro_Asia,UMIC,67,94.3,49.1,77.9,78.7,44,71.9,77.2,56.5,12.1,84.9,78.6,88.4,85.7,37.1,74.3,68,59.5,
ALB,Albania,2010,2948029,E_Euro_Asia,UMIC,68.4,94.3,50.7,79.4,81.1,45.8,72.1,83.7,56.3,13.2,84.9,79,88.4,85.5,41.9,79.7,66.8,59.5,
ALB,Albania,2011,2928601,E_Euro_Asia,UMIC,68.3,93.7,50.8,80.6,83.5,46.6,72.4,74.5,56.7,15.1,84.9,79.6,88.3,84.3,41.8,80.1,69,59,
ALB,Albania,2012,2914091,E_Euro_Asia,UMIC,69.3,93.2,51.3,81.6,87.7,47.7,72.6,78.9,56.7,20.1,86.3,78.3,88,86.5,41.8,80.6,67.7,58.4,
ALB,Albania,2013,2903788,E_Euro_Asia,UMIC,69,89.8,51.1,80.5,90.2,47.7,72.9,82.2,55.1,22.8,86.3,72,88.1,86.3,43.3,80.9,66,58.4,
ALB,Albania,2014,2896307,E_Euro_Asia,UMIC,68.7,86.5,50.3,80.8,93.1,48.2,73.1,76.6,55.4,23.8,78.4,75.6,87.7,85.8,44.8,80.7,65.8,60.3,
ALB,Albania,2015,2890524,E_Euro_Asia,UMIC,69.7,90,50,81.1,93.6,49.8,73.4,82.4,53.6,25.9,80.8,75.7,87.5,89.3,43.4,80.6,67.2,60.5,
ALB,Albania,2016,2886427,E_Euro_Asia,UMIC,70.2,89.2,49.3,81.2,96.5,52,73.6,87.5,54.7,24.9,79.6,74.3,87.3,89.1,45,80.5,67.6,61.1,
ALB,Albania,2017,2884169,E_Euro_Asia,UMIC,70.8,89.7,59.8,82.1,93.8,53.9,73.8,77.9,56.8,27.3,80.3,76,87.1,88,45.3,80.4,67.7,62.8,
ALB,Albania,2018,2882735,E_Euro_Asia,UMIC,72.2,90.9,59.9,82.8,96.1,54.8,74,88.8,58.3,29.3,80.3,78.4,87,88.3,43,80.4,69.1,66.2,
ALB,Albania,2019,2880913,E_Euro_Asia,UMIC,71.5,92,59.9,82.9,95.2,53.8,74.2,81.3,58.9,30,80.3,75.9,86.8,88.2,42.9,80.3,67,65.7,
ALB,Albania,2020,2877800,E_Euro_Asia,UMIC,71.3,91.4,59.9,83,94.3,53.2,74.3,81.3,57.5,31.1,80.3,73.7,86.8,88.5,42.8,80.2,68.3,65.7,
ALB,Albania,2021,2872934,E_Euro_Asia,UMIC,71.5,93,59.9,82.9,94.3,53.2,74.3,81.3,58.5,31.1,80.3,74.5,86.8,88.5,42.8,80,68.7,65.7,
DZA,Algeria,2000,31042238,MENA,LMIC,62.3,94.5,52.4,69.6,50.8,27.7,63.2,58.1,52,9.2,97,73.7,91.9,87.8,64.6,42.8,67.1,57.1,
DZA,Algeria,2001,31451513,MENA,LMIC,63,94.5,52.4,70.2,52.8,27.7,62.8,59.7,52,9.3,97,73.4,91.9,87.7,67.3,47.8,67.1,57.1,
DZA,Algeria,2002,31855110,MENA,LMIC,62.9,94.5,46.8,70.6,55.2,29.1,62.2,59.6,52,9.9,97,73.2,91.9,87.5,67.6,47.8,67.1,57.1,
DZA,Algeria,2003,32264159,MENA,LMIC,63.4,94.5,48.3,71.1,55.7,29.1,61.8,59.9,53.5,9.2,97,72.9,91.9,87.5,69.6,50.9,67.1,57.1,
DZA,Algeria,2004,32692153,MENA,LMIC,64,94.5,47.6,71.1,56.4,29.1,61.4,61.4,57.5,9.6,97,72.7,91.9,87.7,69.7,56.8,67.1,57.1,
DZA,Algeria,2005,33149720,MENA,LMIC,64.4,94.5,47.9,72.1,59.6,31.4,61,60.1,58.9,9.4,97,72.8,91.9,86.8,71,57.1,67.1,57.1,
DZA,Algeria,2006,33641007,MENA,LMIC,65.1,94.5,55,73.3,58.6,31.4,60.5,61.4,60.9,9.9,97,72.5,91.9,87.2,71,57.1,67.2,57.1,
DZA,Algeria,2007,34166976,MENA,LMIC,64.9,94.5,54.1,73.4,57,32.2,60.1,61.8,59.9,10.3,97,72.3,91.9,86.9,70.7,57.1,67.2,57.1,Africa
DZA,Algeria,2008,34730604,MENA,LMIC,65.2,94.5,53.9,73.2,60.3,32.2,59.7,62.7,61.5,10.6,97,72,91.9,87,70.1,57.2,67.2,57.1,
DZA,Algeria,2009,35333882,MENA,LMIC,66.5,94.5,55.2,73.9,79.1,32.2,59.8,61.3,62.3,11,97,71.7,91.9,86.5,68.7,58.7,67.2,58.8,
DZA,Algeria,2010,35977451,MENA,LMIC,66.8,94.5,54.9,76,79.6,34.7,59.9,63.4,62.5,11.2,97,71.9,91.9,86.7,64.6,58.7,70.3,58.2,
DZA,Algeria,2011,36661438,MENA,LMIC,67.1,95.9,54.7,75.9,81.8,34.5,60,64.3,62.5,11.8,97,71.7,91.9,86.5,62.9,59.2,71.7,58.6,
DZA,Algeria,2012,37383899,MENA,LMIC,68.7,96.1,56.2,76.7,90.8,46.3,60.1,64.4,61.8,12.2,97,73.3,91.8,86.8,63.2,59.2,71.8,60.1,
DZA,Algeria,2013,38140135,MENA,LMIC,68.8,96.6,56.7,77.1,86.4,47.9,60.1,64.4,62.6,13.2,97,72.8,91.8,86.3,64.7,59.1,72.6,59.9,
DZA,Algeria,2014,38923688,MENA,LMIC,69.5,96.9,55.3,78.6,84.6,47.5,60.2,64.4,65.4,21.8,97,73.2,91.7,85.6,66.4,59.1,72.5,60.8,
DZA,Algeria,2015,39728020,MENA,LMIC,70.1,97.2,56,79.6,83.6,54.5,60.2,64.6,64.8,26.8,97,72.2,91.7,86.7,64.4,59.1,71.5,61.3,
DZA,Algeria,2016,40551398,MENA,LMIC,70.1,97.4,55.2,77.4,84.5,54.9,60.2,65,65.5,32.3,97,61.5,91.6,87.4,64.5,59.1,71.3,67,
DZA,Algeria,2017,41389174,MENA,LMIC,70.4,97.4,55,76.8,84.6,53.8,60.3,65.5,64,37.5,97,65.9,91.5,87.4,63.3,59.1,71.8,66.2,
DZA,Algeria,2018,42228415,MENA,LMIC,70.8,97.5,56.7,75.5,88.1,53.7,60.3,65.1,64,38.8,97,64.7,91.4,88.1,63.7,59.1,73,67.7,
DZA,Algeria,2019,43053054,MENA,LMIC,70.5,97.6,58.4,75.2,87.6,53.6,60.3,65.3,63.6,42.4,97,55.9,91.4,88,63.7,59.3,69.9,69.3,
DZA,Algeria,2020,43851043,MENA,LMIC,71.5,97.1,58.4,76.5,87.7,53.4,60.4,65.3,60.7,44.6,97,61.1,91.4,88.6,63.7,69.9,70.7,69.3,
DZA,Algeria,2021,44616626,MENA,LMIC,71.5,97.3,58.4,76.1,87.7,53.4,60.4,65.3,60.6,45.7,97,57.8,91.4,88.6,63.7,69.9,72.4,69.3,
AGO,Angola,2000,16395477,Africa,LMIC,46.9,25.2,49.1,23.3,38.9,44.1,43.6,38,57.3,0.8,15.5,32,95.3,94.5,68,66.5,43.1,62.4,
AGO,Angola,2001,16945753,Africa,LMIC,46.9,25.2,48.8,23.7,38.9,44.1,44.3,38.1,57.3,0.8,15.5,32,95.3,94.5,64.7,66.5,43.1,64,
AGO,Angola,2002,17519418,Africa,LMIC,46.5,25.2,48.6,24.8,38.9,44.1,45,39.9,57.3,0.8,15.5,32,95.3,94.2,67.2,66.5,43.1,51.6,
AGO,Angola,2003,18121477,Africa,LMIC,46.7,25.2,49.1,23.8,38.9,44.2,45.6,40.3,57.3,0.8,15.5,32.4,95.3,94.6,67.4,66.5,43.1,54.4,
AGO,Angola,2004,18758138,Africa,LMIC,46.6,25.2,49,23.8,38.9,44,46.3,40.7,57.3,0.8,15.5,32.8,95.3,93.8,66.9,66.5,43.1,52.8,
AGO,Angola,2005,19433604,Africa,LMIC,46.6,25.2,49.2,24,38.9,44,46.9,42.5,57.3,0.8,15.5,33.3,95.3,93.8,66,66.5,43.1,48.9,
AGO,Angola,2006,20149905,Africa,LMIC,47.5,25.2,48.9,24.6,38.9,44,47.5,44.4,57.3,0.8,15.5,33.7,95.3,93.6,65.3,66.5,43.1,62.5,
AGO,Angola,2007,20905360,Africa,LMIC,47.7,25.2,48.6,26.4,38.9,44,48,44.9,57.3,0.8,15.5,34.1,95.3,93.5,65.7,66.5,43.1,62.9,Africa
AGO,Angola,2008,21695636,Africa,LMIC,49.7,25.2,48.9,26.9,38.9,55.4,48.6,49.5,57.3,0.8,28.6,34.6,95.3,93.5,67.5,66.5,43.1,63.6,
AGO,Angola,2009,22514275,Africa,LMIC,48.9,25.2,51.9,27.3,36.6,56.1,49.1,48.9,57.3,0.9,28.6,35,95.3,93.4,67.2,66.5,43.1,49.6,
AGO,Angola,2010,23356247,Africa,LMIC,50.1,25.2,54.4,30.2,35.3,56.1,49.7,49.8,53.6,0.9,28.6,41.7,95.3,93.4,68,66.5,43.1,60.6,
AGO,Angola,2011,24220660,Africa,LMIC,50.8,24.1,56.3,31.7,36.1,55.2,50.2,49.6,55,1.3,28.6,42.1,95.2,92.9,66.9,66.5,47.2,64.5,
AGO,Angola,2012,25107925,Africa,LMIC,50.7,23.1,56,31.1,36.1,53.1,50.8,48.9,55,8.7,28.6,42.4,95.3,92.5,66.9,66.5,45.4,61.2,
AGO,Angola,2013,26015786,Africa,LMIC,51.4,22,57,31.5,36.1,53.1,51.3,54.5,55,10.2,28.6,42.1,95.2,92.4,66.4,66.5,49.6,61.9,
AGO,Angola,2014,26941773,Africa,LMIC,50.1,20.9,55.8,32.4,38.5,54.5,51.9,43.9,53.2,9.3,28.6,43.4,95.2,91.1,65.2,66.5,46.2,55.7,
AGO,Angola,2015,27884380,Africa,LMIC,50.6,19.9,56.9,33.4,38.5,54,52.4,54,53.2,9.6,28.6,43.9,95.2,92.3,69.1,66.5,45.4,46.4,
AGO,Angola,2016,28842482,Africa,LMIC,51,18.8,56.5,32.9,42.2,54.3,52.9,57.9,53.2,9.9,28.6,46.5,95.1,95.1,67.1,66.5,46.1,42.6,
AGO,Angola,2017,29816769,Africa,LMIC,51,17.7,56.4,33.1,42.2,50.7,53.5,59.5,53.2,10.5,28.6,46.7,95.1,95.4,67.9,66.5,46.2,43.8,
AGO,Angola,2018,30809787,Africa,LMIC,50.9,16.7,56.3,34.4,42.2,50.7,54,61.1,53.2,9.7,16.5,47.5,95.1,96.6,68.4,66.5,46.5,50.3,
AGO,Angola,2019,31825299,Africa,LMIC,51,16.1,55.8,35.2,42.2,50.6,54.1,63.6,51.6,10.6,16.5,47.6,95.1,96.7,68.3,66.5,47.8,48.3,
AGO,Angola,2020,32866268,Africa,LMIC,51,14.1,55.8,34.8,42.2,50.3,54.3,63.6,52.8,11.3,16.5,47.6,95.1,96.8,68.3,66.5,48.7,48.3,
AGO,Angola,2021,33933611,Africa,LMIC,50.9,13,55.8,34.8,42.2,50.3,54.3,63.6,52.7,11.3,16.5,47.6,95.1,96.8,68.3,66.5,49,48.3,
ARG,Argentina,2000,36870796,LAC,UMIC,66.5,97.1,68.5,76.5,94.4,69.9,76.4,67.8,57.9,14.2,32.2,72.5,84,87.2,61.5,55.8,58.8,55.8,
ARG,Argentina,2001,37275644,LAC,UMIC,66.4,97.1,68.3,76.7,94.6,69.6,76.6,69.3,56.5,14.6,29.1,72.6,84,87.6,61.5,56,58.8,56,
ARG,Argentina,2002,37681743,LAC,UMIC,66.4,97.1,68.7,78.4,94.5,71.6,76.8,69.5,55.2,14.8,28.4,72.6,84,88.1,61,56.2,58.5,54,
ARG,Argentina,2003,38087866,LAC,UMIC,67,97.1,68.1,79.3,92.8,72.2,77,69.5,57.9,15,32.4,72.7,84,87.7,62.4,56.8,58.9,55.3,
ARG,Argentina,2004,38491970,LAC,UMIC,67.4,97.1,69.1,79.4,92.4,74.9,77.2,68.6,59.1,15.8,36,72.8,84,86.8,61.7,57.1,59.5,54.8,
ARG,Argentina,2005,38892924,LAC,UMIC,68.2,97.1,68.4,80,92.9,76,77.4,69.3,60.2,16.3,37,74.7,84,86.7,66.4,57.5,59.6,55.6,
ARG,Argentina,2006,39289876,LAC,UMIC,68.4,97.1,67.3,79.2,92.2,75.6,77.5,69.4,61.1,17.2,38.9,74.7,84,86.2,67.8,57.4,60.3,56.7,
ARG,Argentina,2007,39684303,LAC,UMIC,68.6,97.1,67.9,78.4,90.8,78.8,77.7,69,62,18.2,39.1,74,84,86.3,67.9,57.4,59.5,58.3,S America
ARG,Argentina,2008,40080159,LAC,UMIC,68.6,97.1,67.3,78.2,91.8,78.5,77.9,68.7,62.4,18.8,40.9,72.4,84,85.8,65.8,57.8,58.7,60.2,
ARG,Argentina,2009,40482786,LAC,UMIC,69.5,97.1,65.9,79.8,92.2,77.9,78.1,69.8,62.1,20.7,42.6,78.2,84,86.2,63.9,59.1,58.9,64.3,
ARG,Argentina,2010,40895751,LAC,UMIC,70.1,97.1,68.5,80.1,93.4,77.3,78.3,70.1,62.7,22.6,42.7,81.9,84,86,63,59.2,60.1,64.2,
ARG,Argentina,2011,41320497,LAC,UMIC,70.3,97.5,68.2,80.5,93.9,76.4,78.5,70.2,63,25.9,44.1,80.7,83.8,84.2,62.3,59.2,62.1,63.9,
ARG,Argentina,2012,41755188,LAC,UMIC,70.4,97.3,67,80.5,93.9,76.8,78.6,70.4,63,28.4,46,78.7,83.9,84.6,61.8,59.5,61.2,65.6,
ARG,Argentina,2013,42196034,LAC,UMIC,70.8,97.4,68,80.8,95.1,76.1,78.8,70.9,63.1,31.6,46.5,78.2,83.7,84.2,62,59.5,60.6,66.2,
ARG,Argentina,2014,42637508,LAC,UMIC,71.7,97.2,68.2,81.7,95.9,76.3,78.9,71.1,66.1,35.3,45.5,84.2,83.4,85.5,63.1,59.5,59.8,66.9,
ARG,Argentina,2015,43075416,LAC,UMIC,72.6,97.3,67.7,81.5,96.5,76.6,79,71.3,68.4,40.1,45.5,85.1,83.3,84.2,67.5,59.6,61.8,68.3,
ARG,Argentina,2016,43508459,LAC,UMIC,71.9,97.1,68.5,80.9,96,76.3,79.1,71.4,68,40.6,45,82,83.1,85.3,62.2,59.7,62.4,65.1,
ARG,Argentina,2017,43937143,LAC,UMIC,72.6,97.2,69.3,80.1,95.6,78.2,79.1,71.9,66.9,46.3,46.3,83.2,83,85,62.5,59.8,64,66.2,
ARG,Argentina,2018,44361150,LAC,UMIC,72.7,96.9,67.9,80.3,96,79.6,79.1,72.1,66.5,47.9,46,83.4,82.8,87.1,62.8,60,64.6,63,
ARG,Argentina,2019,44780675,LAC,UMIC,73,96.7,67.5,80.5,97.3,80.7,79.1,72.4,66.3,47.2,43.7,86.1,82.7,87.7,63.3,60,66.2,63.2,
ARG,Argentina,2020,45195777,LAC,UMIC,72.6,95.5,67.5,79.2,97.3,81.2,79.1,72.4,65.1,47.5,43.7,81.3,82.7,88.2,63.3,61.2,65.4,63.2,
ARG,Argentina,2021,45605823,LAC,UMIC,72.7,96.4,67.5,79.2,97.3,81.2,79.1,72.4,65.5,47.9,43.7,82.1,82.7,88.2,63.3,61.2,65.4,63.2,
ARM,Armenia,2000,3069597,E_Euro_Asia,UMIC,65.6,85.2,52.4,66.6,68.5,45.1,68.9,68.4,62.4,9.4,72.1,79.6,94.1,93,58.9,59.3,74.5,56.1,
ARM,Armenia,2001,3050686,E_Euro_Asia,UMIC,65.8,85.2,53.3,67.4,68.5,45.1,69.7,68.6,62.5,9.7,72.1,79.6,94.1,93,58.9,59.3,74.5,56.2,
ARM,Armenia,2002,3033976,E_Euro_Asia,UMIC,66,85.2,53.5,67.6,68.5,45.1,69.9,70.9,62.6,9.7,72.9,79.7,94.1,93.2,58.9,59.8,74.7,55.4,
ARM,Armenia,2003,3017938,E_Euro_Asia,UMIC,66.2,85.2,53.7,68.2,67.3,45.9,68.9,72.2,62.8,10.6,75.4,79.7,94.1,93,58.9,59.8,74.7,55.4,
ARM,Armenia,2004,3000715,E_Euro_Asia,UMIC,66.1,85.2,57.5,68,68.5,46.3,66.7,72.7,63,10.5,69.1,79.8,94.1,92.9,58.9,59.7,75,56.2,
ARM,Armenia,2005,2981262,E_Euro_Asia,UMIC,66.3,85.2,55.1,67.9,72.5,46,65.6,71.7,62.9,10.9,71.2,79.9,94.1,92.5,58.9,59.6,75,57.8,
ARM,Armenia,2006,2958301,E_Euro_Asia,UMIC,67.1,85.2,54.9,68.3,75.4,46,65.5,71.8,63,10.8,80.1,80,94.1,92.4,58.9,59.5,75.5,58.3,
ARM,Armenia,2007,2932615,E_Euro_Asia,UMIC,67.1,85.2,57.8,69.9,76.6,47.9,64.9,71.3,63.2,11,78,73.1,94.1,92,58.9,59.3,77.1,60.2,Asia Pacific (developed)
ARM,Armenia,2008,2907615,E_Euro_Asia,UMIC,67.2,85.2,58,69.5,75.1,47.5,65.7,70.8,59.6,11,80.8,77.6,94.1,91.7,58.9,59.3,75.2,61.5,
ARM,Armenia,2009,2888094,E_Euro_Asia,UMIC,67.8,85.2,57.9,69.3,78,48,67.8,72.6,56.5,13.2,82.5,78,94.1,92.4,58.9,61,74.1,62.7,
ARM,Armenia,2010,2877314,E_Euro_Asia,UMIC,68.1,85.2,56.6,71.9,77.1,51,69.5,74.5,56,16.1,79.7,75.7,94.1,92.5,58.9,61,75.3,61.8,
ARM,Armenia,2011,2876536,E_Euro_Asia,UMIC,68.4,86.1,58.4,72.7,76.1,51.8,68.3,74,56.4,21.1,80.5,73.4,94.1,92.3,58.9,61.9,75.3,61.7,
ARM,Armenia,2012,2884239,E_Euro_Asia,UMIC,68.8,88.1,58.3,73.2,76.7,53.1,66.2,73.3,57.3,23.1,80.2,75.6,94,92.6,58.9,61.9,76.1,60.8,
ARM,Armenia,2013,2897593,E_Euro_Asia,UMIC,68.8,87.5,58.8,73.9,76.8,53.2,66.3,73.1,58.2,23.8,78.8,73.6,93.9,92.4,58.9,61.9,76.7,61.5,
ARM,Armenia,2014,2912403,E_Euro_Asia,UMIC,69,88.1,59.5,74.2,75.5,53.1,66.9,73.1,57.2,26.6,77.6,75.3,93.8,92.5,58.9,61.9,76.9,61.4,
ARM,Armenia,2015,2925559,E_Euro_Asia,UMIC,69.1,90.2,59.8,75.2,75.9,53,65.1,74.7,56.7,28.4,76.3,72.7,93.8,93.4,58.9,61.9,76.9,61.3,
ARM,Armenia,2016,2936147,E_Euro_Asia,UMIC,69.4,90.2,61.6,75.8,71.8,52.5,65.6,75.3,57.2,30.6,76.1,77.5,93.6,93.3,58.9,61.9,75.8,61,
ARM,Armenia,2017,2944789,E_Euro_Asia,UMIC,69.9,91.6,59.2,76.5,73.3,56.4,67.3,75,63.6,32,74.6,76.9,93.5,92.3,58.9,61.9,74,61,
ARM,Armenia,2018,2951741,E_Euro_Asia,UMIC,69.8,90.4,60.5,77.4,74,54.7,68,74.1,62.6,36.6,73.5,73.4,93.3,91,58.9,61.9,76.3,60.3,
ARM,Armenia,2019,2957728,E_Euro_Asia,UMIC,70.9,90.2,60.5,78.8,73.2,58.3,68.1,73.9,63.2,37.7,79.8,76.8,93.2,91.1,58.9,61.9,76.9,62.3,
ARM,Armenia,2020,2963234,E_Euro_Asia,UMIC,70.7,82.9,60.5,78.8,77,57.9,68.1,73.9,60.9,38.8,79.8,76.8,93.2,90.9,58.9,61.9,78.4,62.5,
ARM,Armenia,2021,2968128,E_Euro_Asia,UMIC,70.7,86.6,60.5,78.5,77,57.9,68.1,73.9,61.1,38.8,79.8,75.2,93.2,90.9,58.9,61.9,77.4,62.5,
AUS,Australia,2000,18991434,OECD,HIC,71.2,99.8,63.3,90.6,71.8,70.8,94,69.5,78.3,73.8,80.9,82.2,60.6,7.5,54.4,59.7,84.7,67.8,
AUS,Australia,2001,19194676,OECD,HIC,71.4,99.8,63.5,91.1,74.6,71.1,94,70.1,78.7,74.8,80.9,82.2,60.6,7,53.2,59.7,84.8,67.2,
AUS,Australia,2002,19401366,OECD,HIC,71.8,99.8,63.3,91.3,73.9,72.5,94,69.9,78.1,75.6,80.9,82.2,60.6,6.8,58.3,60.5,84.7,67.9,
AUS,Australia,2003,19624163,OECD,HIC,72,99.8,60.8,91.8,80,72.8,94,69.9,76.6,75.6,80.9,82.3,60.6,6.6,58.9,60.6,84.8,67.5,
AUS,Australia,2004,19879654,OECD,HIC,72.4,99.8,63,91.8,80.9,72.4,94,70,77.6,76.1,81.5,82.4,60.6,5.9,61,60.6,84.9,67.8,
AUS,Australia,2005,20178543,OECD,HIC,72.5,99.8,61.6,92.1,80,74.8,94,69.5,77,77.8,81.5,82.5,60.6,6.3,62.6,60.5,84.9,67.7,
AUS,Australia,2006,20526300,OECD,HIC,72.8,99.8,61.7,92.4,80.2,75,94.1,69.4,78.5,79.8,81.5,82.6,60.6,6.1,61.9,60.7,84.9,68.8,
AUS,Australia,2007,20916339,OECD,HIC,72.7,99.8,59.7,92.5,74.6,76.1,94.1,69.6,80.4,80.4,81.5,82.3,60.6,6.3,64,61.1,84,69.5,Asia Pacific (developed)
